ID,Name,Salary,Team,AGE,GP,W,L,MIN,PTS,FGM,FGA,FGPER,TPM,TPA,TPPER,FTM,FTA,FTPER,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,PLUSMINUS,Position,Country,Draft Round,Draft Number,SGap
206,Kristaps Porzingis,4503600,NYK,22,48,22,26,32.4,22.7,8.1,18.5,43.9,1.9,4.8,39.5,4.5,5.7,79.3,1.3,5.3,6.6,1.2,1.9,0.8,2.4,2.9,39.8,5,0,0.3,F,Latvia,1,4,1
207,Dragan Bender,4468800,PHX,20,77,19,58,24.7,6.1,2.1,5.7,37.1,1.4,3.8,35.6,0.5,0.6,78.3,0.4,3.6,4,1.6,1.4,0.3,0.6,2,14.6,0,0,-6,F,Croatia,1,4,1
208,Devin Harris,4402546,DEN,35,65,28,37,18.9,8.4,2.6,6.4,41.4,1.1,3.1,34.7,2.1,2.5,83.8,0.2,1.6,1.8,2.1,1.1,0.7,0.2,2.4,15.4,0,0,2.1,G,USA,1,5,1
209,Ron Baker,4328000,NYK,25,29,12,17,13.3,2.4,0.7,2,33.9,0.4,1.1,33.3,0.7,0.9,74.1,0.2,0.9,1,1.6,0.6,0.9,0.2,1.1,8.8,0,0,0.6,G,USA,Undrafted,Undrafted,1
210,Aron Baynes,4328000,BOS,31,74,51,23,18.1,5.7,2.5,5.2,47.4,0,0.2,0,0.8,1,75,1.5,3.8,5.3,1.1,1,0.2,0.6,2.5,15.3,3,0,2.4,C,Australia,Undrafted,Undrafted,1
211,Alex Len,4187599,PHX,24,65,18,47,19.9,8.2,2.9,5.2,56.3,0,0,0,2.3,3.3,69.6,2.5,4.9,7.4,1.1,1.1,0.4,0.9,2.3,21.7,10,0,-3.8,C,Ukraine,1,5,1
212,Nerlens Noel,4187599,DAL,23,29,6,23,15.7,4.5,1.9,3.6,53.4,0,0,0,0.7,1,75,1.6,4,5.6,0.6,0.8,1,0.7,2,16.6,2,0,-4,C,USA,1,6,1
213,Jonathan Isaac,4186320,ORL,20,26,11,15,19.8,5,1.9,5.2,37.3,0.5,1.5,32.5,0.7,0.9,73.9,0.6,3,3.7,0.7,1,1.2,1.2,1.8,16.5,0,0,-4.1,F,USA,1,6,1
214,Lance Stephenson,4180000,IND,27,76,45,31,22.4,9.4,3.8,8.6,43.8,0.8,2.7,30.3,1,1.5,67.9,0.7,4.2,5,2.8,1.7,0.6,0.2,2.1,20.1,2,0,-1.4,G,USA,2,40,1
215,Julius Randle,4149242,LAL,23,75,33,42,26.9,16.3,6.3,11.1,56.3,0.1,0.6,23.3,3.6,5.1,70.9,2.3,5.8,8,2.5,2.6,0.5,0.6,3.4,30.5,26,1,-0.4,F,USA,1,7,1
216,Kyle O'Quinn,4087500,NYK,28,71,26,45,17.3,6.8,2.8,4.7,59.1,0,0.2,9.1,1.3,1.6,76.7,1.4,4.3,5.7,2,1.3,0.5,1.2,2.5,20.3,5,0,-0.5,C,USA,2,49,1
217,Mario Hezonja,4078320,ORL,23,68,18,50,21.3,9.2,3.5,7.9,44.5,1.1,3.4,32.3,1.1,1.3,82,0.5,3.1,3.6,1.3,1.1,1,0.4,1.8,18.5,2,0,-3,F,Croatia,1,5,1
218,Kris Dunn,4046760,CHI,24,52,19,33,29.3,13.4,5.5,12.8,42.9,0.8,2.6,32.1,1.6,2.2,73,0.5,3.8,4.3,6,2.9,2,0.5,3.4,32.2,4,0,-5.3,G,USA,1,5,1
219,Jonas Jerebko,4000000,UTA,31,68,40,28,15.3,5.6,2.1,4.6,44.8,0.9,2.1,40.6,0.6,0.8,79.2,0.8,2.7,3.4,0.6,0.4,0.3,0.1,1.7,11.7,0,0,0.6,F,Sweden,2,39,1
